glossary,term_key,definition,tags,language,text,note,status
QYSEA · FIFISH Add-Ons,2d-image-sonar,,category:Inspection,en,2D Image Sonar,,approved
QYSEA · FIFISH Add-Ons,2d-image-sonar,,category:Inspection,zh,2D成像声呐,,approved
QYSEA · FIFISH Add-Ons,2d-image-sonar,,category:Inspection,ja,2Dイメージングソナー,,approved
QYSEA · FIFISH Add-Ons,2d-image-sonar,,category:Inspection,es,Sonar de imagen 2D,,approved
QYSEA · FIFISH Add-Ons,2d-image-sonar,,category:Inspection,ko,2D 이미지 소나,,approved
QYSEA · FIFISH Add-Ons,2d-image-sonar,,category:Inspection,ru,Сонар с двухммерным изображением,,approved
QYSEA · FIFISH Add-Ons,q-camera,,category:Inspection,en,Q-Camera,,approved
QYSEA · FIFISH Add-Ons,q-camera,,category:Inspection,zh,Q相机,,approved
QYSEA · FIFISH Add-Ons,q-camera,,category:Inspection,ja,Q-カメラ,,approved
QYSEA · FIFISH Add-Ons,q-camera,,category:Inspection,es,Q-Cámara,,approved
QYSEA · FIFISH Add-Ons,q-camera,,category:Inspection,ko,Q-카메라,,approved
QYSEA · FIFISH Add-Ons,q-camera,,category:Inspection,ru,Q-Камера,,approved
QYSEA · FIFISH Add-Ons,q-cam-d-l,,category:Inspection,en,Q-Cam D/L,,approved
QYSEA · FIFISH Add-Ons,q-cam-d-l,,category:Inspection,zh,Q-Cam D/L,,approved
QYSEA · FIFISH Add-Ons,q-cam-d-l,,category:Inspection,ja,Q-Cam D/L,,approved
QYSEA · FIFISH Add-Ons,q-cam-d-l,,category:Inspection,es,Q-Cam D/L,,approved
QYSEA · FIFISH Add-Ons,q-cam-d-l,,category:Inspection,ko,Q-Cam D/L,,approved
QYSEA · FIFISH Add-Ons,q-cam-d-l,,category:Inspection,ru,Q-Cam D/L,,approved
QYSEA · FIFISH Add-Ons,sports-camera-mounts,,category:Inspection,en,Sports Camera Mounts,,approved
QYSEA · FIFISH Add-Ons,sports-camera-mounts,,category:Inspection,zh,运动相机支架Ⅰ,,approved
QYSEA · FIFISH Add-Ons,sports-camera-mounts,,category:Inspection,ja,アクションカメラマウント,,approved
QYSEA · FIFISH Add-Ons,sports-camera-mounts,,category:Inspection,es,Montura para cámara deportiva,,approved
QYSEA · FIFISH Add-Ons,sports-camera-mounts,,category:Inspection,ko,스포츠 카메라 마운트,,approved
QYSEA · FIFISH Add-Ons,sports-camera-mounts,,category:Inspection,ru,Крепление для спортивной камеры,,approved
QYSEA · FIFISH Add-Ons,action-camera-mount,,category:Inspection,en,Action Camera Mount,,approved
QYSEA · FIFISH Add-Ons,action-camera-mount,,category:Inspection,zh,运动相机支架Ⅱ,,approved
QYSEA · FIFISH Add-Ons,action-camera-mount,,category:Inspection,ja,TBD,,approved
QYSEA · FIFISH Add-Ons,action-camera-mount,,category:Inspection,es,Montura para cámara de acción,,approved
QYSEA · FIFISH Add-Ons,action-camera-mount,,category:Inspection,ko,액션 카메라 마운트,,approved
QYSEA · FIFISH Add-Ons,action-camera-mount,,category:Inspection,ru,Крепление для экшн-камеры,,approved
QYSEA · FIFISH Add-Ons,underwater-metal-detector,,category:Inspection,en,Underwater Metal Detector,,approved
